uuid,Submission ID,Team ID,Team Track,Composite Score,nDCG@20,Catalog Diversity,Lexical Diversity,LLM-as-a-Judge,Use Testset,Paper,Code
hallucinated-824823,824823,hallucinated,Academic Track,0.688949595,0.618486308,0.027490387,0.957074025,4.75,o,,
volart-819853,819853,volart,Industry Track,0.586611845,0.396534887,0.03161182,0.926832194,4.9,x,,https://github.com/artvolgin/music-crs-recsys2026
niwatori-813982,813982,niwatori,Industry Track,0.585920046,0.493389952,0.03118693,0.77356377,4.45,x,,https://github.com/ryowk/recsys2026-niwatori
swyoo-818284,818284,swyoo,Industry Track,0.578429003,0.382893624,0.030273417,0.952048495,4.85,x,,https://github.com/yoobros/music-crs-challenge
team2_s2-827190,827190,team2_s2,Academic Track,0.575916042,0.445184942,0.030252172,0.765483535,4.65,x,,https://github.com/lopsandrea/music-crs-team2
dslvt-814569,814569,dslvt,,0.562228273,0.457959398,0.028510123,0.791475615,4.35,N/A,,
theoviel-827253,827253,theoviel,Industry Track,0.559378427,0.480050019,0.028382656,0.915151515,4,N/A,,
yangbai-809728,809728,yangbai,Academic Track,0.555093031,0.498649123,0.030379639,0.739805053,4.05,N/A,,
madhav-809738,809738,madhav,Academic Track,0.547547624,0.430360696,0.031356886,0.81731587,4.3,N/A,,
dhl2233-809643,809643,dhl2233,Industry Track,0.542871747,0.386507777,0.023772599,0.809905985,4.55,N/A,,
soussou-819854,819854,soussou,Academic Track,0.53026423,0.427746435,0.030528351,0.770881774,4.15,N/A,,
sanjeevsuresh-819813,819813,sanjeevsuresh,Industry Track,0.52754643,0.439683248,0.031569331,0.832978723,3.95,N/A,,
vkost-819579,819579,vkost,Industry Track,0.509828707,0.472930522,0.03142062,0.752213841,3.6,N/A,,
shipshipzz-815210,815210,shipshipzz,,0.508669845,0.456929936,0.025132247,0.826916525,3.6,N/A,,
uec_okmt_lab-818349,818349,uec_okmt_lab,Academic Track,0.500894001,0.407194835,0.02948737,0.768478465,3.9,N/A,,
komekami-816456,816456,komekami,Industry Track,0.499798688,0.352800194,0.027532876,0.731453029,4.3,N/A,,
suryaaseran-812271,812271,suryaaseran,Industry Track,0.492055909,0.336189038,0.028786302,0.773327591,4.25,N/A,,
vasiliq-816287,816287,vasiliq,Industry Track,0.48487004,0.380811524,0.028340167,0.853802609,3.75,N/A,,
cyang31-812874,812874,cyang31,Industry Track,0.47815866,0.400044323,0.028616346,0.84024864,3.55,N/A,,
simransu-816764,816764,simransu,Industry Track,0.477485882,0.329550639,0.03142062,0.733185008,4.15,N/A,,
bhavikat-810136,810136,bhavikat,Industry Track,0.473612726,0.22711377,0.031293153,0.869265264,4.6,N/A,,
lamya19-819592,819592,lamya19,Academic Track,0.465729767,0.219322287,0.031293153,0.791893083,4.65,N/A,,
uiskloster-819920,819920,uiskloster,Academic Track (At least 50% of members are students or academic staff),0.455721947,0.349941799,0.031654309,0.938356164,3.45,N/A,,
maxime_m-819866,819866,maxime_m,Academic Track,0.450957545,0.358706418,0.031378131,0.809665227,3.5,N/A,,
this_adityarai-819818,819818,this_adityarai,Academic Track,0.448230477,0.321132005,0.011599499,0.840045249,3.7,N/A,,
eooom-819886,819886,eooom,Academic Track,0.442905197,0.118705012,0.031718043,0.878808864,4.9,N/A,,
jseals38-824825,824825,jseals38,Industry Track,0.438173052,0.474450033,0.029041236,0.780439122,2.6,N/A,,
kaish-831533,831533,kaish,Industry Track,0.396643735,0.240070694,0.030698307,0.747885572,3.65,N/A,,
npatta01-819863,819863,npatta01,Industry Track,0.381109682,0.253684925,0.031484353,0.786187845,3.3,N/A,,
maxduan-819505,819505,maxduan,,0.372605487,0.348407399,0.031101952,0.677915927,2.7,N/A,,
tanlocn-816190,816190,tanlocn,Industry Track,0.361906828,0.332300917,0.031696799,0.83836689,2.45,N/A,,
thylinao-816261,816261,thylinao,Academic Track,0.35969035,0.267640069,0.028977502,0.692225646,3.05,N/A,,
swlee9087-819846,819846,swlee9087,Academic Track,0.354160393,0.139512161,0.030549595,0.713493531,3.8,N/A,,
minhee-819653,819653,minhee,Academic Track,0.335700789,0.150254742,0.031208175,0.812026002,3.35,N/A,,
kszydlowski-819620,819620,kszydlowski,Industry Track,0.324967828,0.04375,0.029933505,0.600994773,4.2,N/A,,
semintelligencn-827194,827194,semintelligencn,Academic Track,0.321272714,0.232288079,0.030634573,0.820652174,2.6,N/A,,
yifeinatchen-819926,819926,yifeinatchen,Industry Track,0.307375308,0.153364286,0.031569331,0.775362319,3,N/A,,
shuaih-819932,819932,shuaih,Academic Track,0.251473477,0.303488126,0.031335642,0.628458498,1.45,N/A,,
dillipriya-819507,819507,dillipriya,Academic Track,0.177310474,0.009937786,0.020076055,0.653339756,2.4,N/A,,
jinbao-814142,814142,jinbao,Industry Track,0.157168019,0.134071026,0.019502454,0.506822612,1.5,N/A,,
